"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"TASTYBITE",9524,2025-08-29 00:00:00,0.64,11390,2025-07-31 00:00:00,-15.85,9470,2025-04-30 00:00:00,1.21,11944.05,2024-10-31 00:00:00,-19.76,9584.5,
"TATACHEM",920.7,2025-08-29 00:00:00,2.08,982.55,2025-07-31 00:00:00,-4.35,837.3,2025-04-30 00:00:00,12.25,1148.9,2024-10-31 00:00:00,-18.2,939.85,
"TATACOMM",1548.6,2025-08-29 00:00:00,0.8,1724.7,2025-07-31 00:00:00,-9.49,1591.4,2025-04-30 00:00:00,-1.91,1774.65,2024-10-31 00:00:00,-12.04,1561,
"TATACONSUM",1065.4,2025-08-29 00:00:00,0.97,1073.2,2025-07-31 00:00:00,0.23,1165.8,2025-04-30 00:00:00,-7.73,1002.55,2024-10-31 00:00:00,7.3,1075.7,
"TATAELXSI",5234,2025-08-29 00:00:00,2.35,6093.5,2025-07-31 00:00:00,-12.09,5766,2025-04-30 00:00:00,-7.09,7021.85,2024-10-31 00:00:00,-23.71,5357,
"TATAGOLD",10,2025-08-29 00:00:00,1.8,9.65,2025-07-31 00:00:00,5.49,9.3,2025-04-30 00:00:00,9.46,7.84,2024-10-31 00:00:00,29.85,10.18,
"TATAINVEST",6815.5,2025-08-29 00:00:00,0.01,6801,2025-07-31 00:00:00,0.23,5935.5,2025-04-30 00:00:00,14.84,6887.05,2024-10-31 00:00:00,-1.02,6816.5,
"TATAMOTORS",669,2025-08-29 00:00:00,3.16,665.95,2025-07-31 00:00:00,3.63,644.25,2025-04-30 00:00:00,7.12,834.05,2024-10-31 00:00:00,-17.25,690.15,
"TATAPOWER",374.15,2025-08-29 00:00:00,1.71,397.75,2025-07-31 00:00:00,-4.32,384.4,2025-04-30 00:00:00,-1,440.05,2024-10-31 00:00:00,-13.52,380.55,
"TATASTEEL",154.48,2025-08-29 00:00:00,1.09,157.94,2025-07-31 00:00:00,-1.12,140.08,2025-04-30 00:00:00,11.49,148.56,2024-10-31 00:00:00,5.12,156.17,
"TATATECH",657.25,2025-08-29 00:00:00,3.03,702.25,2025-07-31 00:00:00,-3.57,657.85,2025-04-30 00:00:00,2.93,1006.3,2024-10-31 00:00:00,-32.71,677.15,
"TATSILV",11.51,2025-08-29 00:00:00,4.69,10.84,2025-07-31 00:00:00,11.16,9.31,2025-04-30 00:00:00,29.43,9.54,2024-10-31 00:00:00,26.31,12.05,
"TATVA",1040.3,2025-08-29 00:00:00,1.03,1167,2025-07-31 00:00:00,-9.94,704.5,2025-04-30 00:00:00,49.18,847.75,2024-10-31 00:00:00,23.98,1051,
"TBOTEK",1307.3,2025-08-29 00:00:00,4.11,1354.6,2025-07-31 00:00:00,0.47,1123.3,2025-04-30 00:00:00,21.16,1623.1,2024-10-31 00:00:00,-16.15,1361,
"TBZ",185.31,2025-08-29 00:00:00,1.3,183.36,2025-07-31 00:00:00,2.37,195.52,2025-04-30 00:00:00,-3.99,269.25,2024-10-31 00:00:00,-30.28,187.71,
"TCI",1139.3,2025-08-29 00:00:00,0.11,1173,2025-07-31 00:00:00,-2.77,1042.7,2025-04-30 00:00:00,9.38,1079.85,2024-10-31 00:00:00,5.62,1140.5,
"JISLDVREQS",31.21,2025-08-29 00:00:00,0.99,28.93,2025-07-31 00:00:00,8.95,28.99,2025-04-30 00:00:00,8.73,31.77,2024-10-31 00:00:00,-0.79,31.52,
"JISLJALEQS",49.65,2025-08-29 00:00:00,4.19,51.2,2025-07-31 00:00:00,1.04,52.5,2025-04-30 00:00:00,-1.47,64.35,2024-10-31 00:00:00,-19.61,51.73,
"JITFINFRA",254.7,2025-08-29 00:00:00,1.28,350.9,2025-07-31 00:00:00,-26.49,692.2,2024-12-31 00:00:00,-62.73,0.001,,25794900,257.95,
"JKCEMENT",6946.5,2025-08-29 00:00:00,1.74,6659,2025-07-31 00:00:00,6.13,5112.7,2025-04-30 00:00:00,38.23,4322.3,2024-10-31 00:00:00,63.51,7067.5,
"JKIL",617.65,2025-08-29 00:00:00,-0.66,704.25,2025-07-31 00:00:00,-12.88,646.75,2025-04-30 00:00:00,-5.13,793.35,2024-10-31 00:00:00,-22.66,613.55,
"JKLAKSHMI",921.15,2025-08-29 00:00:00,2.82,971.35,2025-07-31 00:00:00,-2.49,776.95,2025-04-30 00:00:00,21.91,810.2,2024-10-31 00:00:00,16.9,947.15,
"JKPAPER",374.7,2025-08-29 00:00:00,1.6,358.8,2025-07-31 00:00:00,6.1,314.7,2025-04-30 00:00:00,20.97,461.35,2024-10-31 00:00:00,-17.48,380.7,
"JKTYRE",320.9,2025-08-29 00:00:00,3.44,335.05,2025-07-31 00:00:00,-0.93,310.4,2025-04-30 00:00:00,6.94,397,2024-10-31 00:00:00,-16.39,331.95,
"JLHL",1410.4,2025-08-29 00:00:00,1.99,1430,2025-07-31 00:00:00,0.59,1467.6,2025-04-30 00:00:00,-1.99,1344.7,2024-10-31 00:00:00,6.97,1438.4,
"JMA",87.69,2025-08-29 00:00:00,-0.01,92.08,2025-07-31 00:00:00,-4.78,83.3,2025-04-30 00:00:00,5.26,101.71,2024-10-31 00:00:00,-13.79,87.68,
"JMFINANCIL",177.48,2025-08-29 00:00:00,4.28,157.83,2025-07-31 00:00:00,17.26,101.54,2025-04-30 00:00:00,82.26,140.29,2024-10-31 00:00:00,31.92,185.07,
"JNKINDIA",295.05,2025-08-29 00:00:00,-0.95,322,2025-07-31 00:00:00,-9.24,352.5,2025-04-30 00:00:00,-17.09,645.2,2024-10-31 00:00:00,-54.7,292.25,
"JOCIL",162.42,2025-08-29 00:00:00,1.24,157.36,2025-07-31 00:00:00,4.5,151.08,2025-04-30 00:00:00,8.84,196.67,2024-10-31 00:00:00,-16.39,164.44,
"JPOLYINVST",865.6,2025-08-29 00:00:00,20,776.6,2025-07-31 00:00:00,33.75,865.1,2025-04-30 00:00:00,20.07,735.4,2024-10-31 00:00:00,41.24,1038.7,
"JPPOWER",18.39,2025-08-29 00:00:00,0.71,21,2025-07-31 00:00:00,-11.81,14.54,2025-04-30 00:00:00,27.37,18.2,2024-10-31 00:00:00,1.76,18.52,
"JSFB",490.65,2025-08-29 00:00:00,-0.01,473.95,2025-07-31 00:00:00,3.51,500.5,2025-04-30 00:00:00,-1.98,467.25,2024-10-31 00:00:00,5,490.6,
"JSL",762.95,2025-08-29 00:00:00,-1,694.1,2025-07-31 00:00:00,8.82,583.1,2025-04-30 00:00:00,29.54,675.3,2024-10-31 00:00:00,11.85,755.35,
"JSLL",708.15,2025-08-29 00:00:00,-0.35,0.001,,70564900,0.001,,70564900,0.001,,70564900,705.65,
"JSWCEMENT",148.43,2025-08-29 00:00:00,2.24,0.001,,15175900,0.001,,15175900,0.001,,15175900,151.76,
"JSWENERGY",488.45,2025-08-29 00:00:00,2.59,515.05,2025-07-31 00:00:00,-2.71,479.2,2025-04-30 00:00:00,4.57,679.15,2024-10-31 00:00:00,-26.22,501.1,
"JSWHL",17400,2025-08-29 00:00:00,2.99,22210,2025-07-02 00:00:00,-19.32,22985.85,2025-03-28 00:00:00,-22.04,0.001,,1791999900,17920,
"JSWINFRA",296,2025-08-29 00:00:00,0.83,304.75,2025-07-31 00:00:00,-2.07,293.65,2025-04-30 00:00:00,1.63,314.9,2024-10-31 00:00:00,-5.22,298.45,
"JSWSTEEL",1026.6,2025-08-29 00:00:00,0.87,1048.3,2025-07-31 00:00:00,-1.22,1029.8,2025-04-30 00:00:00,0.55,963.65,2024-10-31 00:00:00,7.46,1035.5,
"JTEKTINDIA",134.83,2025-08-29 00:00:00,1.31,128.98,2025-07-31 00:00:00,5.9,142.02,2025-04-30 00:00:00,-3.82,173.29,2024-10-31 00:00:00,-21.18,136.59,
"JTLIND",71.38,2025-08-29 00:00:00,8.42,71.28,2025-07-31 00:00:00,8.57,64.94,2025-04-30 00:00:00,19.17,196.52,2024-10-31 00:00:00,-60.62,77.39,
"JUBLCPL",2888.5,2025-08-29 00:00:00,2.3,2263.2,2025-07-31 00:00:00,30.57,1486.7,2025-04-30 00:00:00,98.76,0.001,,295499900,2955,
"JUBLFOOD",627.75,2025-08-29 00:00:00,0.5,655.5,2025-07-31 00:00:00,-3.75,715.4,2025-04-30 00:00:00,-11.81,576,2024-10-31 00:00:00,9.53,630.9,
"JUBLINGREA",725.4,2025-08-29 00:00:00,0.74,782.7,2025-07-31 00:00:00,-6.64,642.45,2025-04-30 00:00:00,13.74,716.75,2024-10-31 00:00:00,1.95,730.75,
"JUBLPHARMA",1023.1,2025-08-29 00:00:00,1.78,1194.1,2025-07-31 00:00:00,-12.8,897.95,2025-04-30 00:00:00,15.96,1211.75,2024-10-31 00:00:00,-14.07,1041.3,
"JUNIORBEES",707.48,2025-08-29 00:00:00,1.27,719.81,2025-07-31 00:00:00,-0.47,688.48,2025-04-30 00:00:00,4.06,746.59,2024-10-31 00:00:00,-4.04,716.46,
"JUNIPER",281.45,2025-08-29 00:00:00,1.05,292.4,2025-07-31 00:00:00,-2.74,286.55,2025-04-30 00:00:00,-0.75,337.2,2024-10-31 00:00:00,-15.66,284.4,
"JUSTDIAL",808.95,2025-08-29 00:00:00,0.77,840.7,2025-07-31 00:00:00,-3.04,936.8,2025-04-30 00:00:00,-12.99,1134.95,2024-10-31 00:00:00,-28.18,815.15,
"JWL",317.55,2025-08-29 00:00:00,1.23,341.6,2025-07-31 00:00:00,-5.9,354.6,2025-04-30 00:00:00,-9.35,515.75,2024-10-31 00:00:00,-37.67,321.45,
"JYOTHYLAB",340.4,2025-08-29 00:00:00,-0.59,332.4,2025-07-31 00:00:00,1.81,374,2025-04-30 00:00:00,-9.52,519.1,2024-10-31 00:00:00,-34.81,338.4,
"JYOTICNC",911.2,2025-08-29 00:00:00,-1.57,1020,2025-07-31 00:00:00,-12.07,1076.6,2025-04-30 00:00:00,-16.7,1048.35,2024-10-31 00:00:00,-14.45,896.85,
"JYOTISTRUC",15.05,2025-08-29 00:00:00,0,16.84,2025-07-31 00:00:00,-10.63,18.21,2025-04-30 00:00:00,-17.35,36.33,2024-10-31 00:00:00,-58.57,15.05,
"KABRAEXTRU",288.9,2025-08-29 00:00:00,-0.38,286.2,2025-07-31 00:00:00,0.56,332.3,2025-02-28 00:00:00,-13.39,416,2024-08-30 00:00:00,-30.82,287.8,
"KAJARIACER",1209.6,2025-08-29 00:00:00,1.34,1177,2025-07-31 00:00:00,4.15,804.5,2025-04-30 00:00:00,52.37,1200.65,2024-10-31 00:00:00,2.09,1225.8,
"KAKATCEM",148.59,2025-08-29 00:00:00,0.91,158.96,2025-07-31 00:00:00,-5.67,145.93,2025-04-30 00:00:00,2.75,194.03,2024-10-31 00:00:00,-22.72,149.94,
"KALAMANDIR",176.24,2025-08-29 00:00:00,-1.72,177.91,2025-07-31 00:00:00,-2.65,122.15,2025-04-30 00:00:00,41.79,174.28,2024-10-31 00:00:00,-0.62,173.2,
"KALPATARU",381.2,2025-08-29 00:00:00,3.28,396.65,2025-07-31 00:00:00,-0.74,0.001,,39369900,0.001,,39369900,393.7,
"KALYANIFRG",672.25,2025-08-29 00:00:00,1.65,705.3,2025-07-31 00:00:00,-3.11,811.55,2025-01-09 00:00:00,-15.8,0.001,,68334900,683.35,
"KALYANKJIL",504.15,2025-08-29 00:00:00,1.17,594.7,2025-07-31 00:00:00,-14.23,516.55,2025-04-30 00:00:00,-1.26,657.15,2024-10-31 00:00:00,-22.38,510.05,
"KAMATHOTEL",290.37,2025-08-29 00:00:00,3.4,238.92,2025-07-31 00:00:00,25.67,236,2025-04-30 00:00:00,27.22,217.2,2024-10-31 00:00:00,38.24,300.25,
"KAMDHENU",28.15,2025-08-29 00:00:00,1.56,30.18,2025-07-31 00:00:00,-5.27,27.27,2025-04-30 00:00:00,4.84,488.75,2024-10-31 00:00:00,-94.15,28.59,
"KAMOPAINTS",10.21,2025-08-29 00:00:00,-0.29,25.84,2024-10-07 00:00:00,-60.6,0.001,,1017900,0.001,,1017900,10.18,
"KANANIIND",2.11,2025-08-29 00:00:00,-4.74,2.01,2025-07-31 00:00:00,0,1.65,2025-03-28 00:00:00,21.82,2.82,2024-09-30 00:00:00,-28.72,2.01,
"KANORICHEM",82.42,2025-08-29 00:00:00,1.76,89.99,2025-07-31 00:00:00,-6.8,87.58,2025-04-30 00:00:00,-4.24,125.54,2024-10-31 00:00:00,-33.19,83.87,
"KANPRPLA",198.26,2025-08-29 00:00:00,8.63,216.62,2025-05-20 00:00:00,-0.58,115.29,2025-02-28 00:00:00,86.81,122.61,2024-08-30 00:00:00,75.65,215.37,
"KANSAINER",239.99,2025-08-29 00:00:00,0.68,244.9,2025-07-31 00:00:00,-1.34,257.17,2025-04-30 00:00:00,-6.04,285.1,2024-10-31 00:00:00,-15.25,241.63,
"KAPSTON",242.17,2025-08-29 00:00:00,0.83,241.88,2025-07-31 00:00:00,0.95,214.79,2025-04-30 00:00:00,13.68,269.38,2024-10-31 00:00:00,-9.35,244.18,
"KARURVYSYA",214.05,2025-08-29 00:00:00,-2.31,263.6,2025-07-31 00:00:00,-20.68,218.17,2025-04-30 00:00:00,-4.16,225.98,2024-10-31 00:00:00,-7.47,209.1,
"KAUSHALYA",1169.45,2025-08-29 00:00:00,8.48,878.6,2025-07-31 00:00:00,44.39,915.3,2025-04-30 00:00:00,38.6,869.4,2024-10-31 00:00:00,45.92,1268.6,
"KAYNES",6123,2025-08-29 00:00:00,7.79,6172,2025-07-31 00:00:00,6.93,5747.2,2025-04-30 00:00:00,14.84,5440.05,2024-10-31 00:00:00,21.32,6600,
"KCP",196.94,2025-08-29 00:00:00,0.95,203,2025-07-31 00:00:00,-2.06,199.98,2025-04-30 00:00:00,-0.58,215.55,2024-10-31 00:00:00,-7.76,198.82,
"KCPSUGIND",32.16,2025-08-29 00:00:00,3.45,32.75,2025-07-31 00:00:00,1.59,35.41,2025-04-30 00:00:00,-6.04,0.001,,3326900,33.27,
"KDDL",2384.7,2025-08-29 00:00:00,-0.05,2698.8,2025-07-31 00:00:00,-11.69,2608.6,2025-04-30 00:00:00,-8.63,2594.9,2024-10-31 00:00:00,-8.15,2383.4,
"KEC",808.1,2025-08-29 00:00:00,1.23,861.5,2025-07-31 00:00:00,-5.04,698.2,2025-04-30 00:00:00,17.17,984.9,2024-10-31 00:00:00,-16.94,818.05,
"KECL",114.96,2025-08-29 00:00:00,0.22,128.86,2025-07-31 00:00:00,-10.59,126.68,2025-04-30 00:00:00,-9.05,198.38,2024-10-31 00:00:00,-41.92,115.21,
"KEI",3810.6,2025-08-29 00:00:00,2.88,3844.2,2025-07-31 00:00:00,1.98,3063.6,2025-04-30 00:00:00,27.96,4051.75,2024-10-31 00:00:00,-3.24,3920.3,
"KELLTONTEC",25.65,2025-08-29 00:00:00,0.08,28.48,2025-07-31 00:00:00,-9.87,106.4,2025-04-30 00:00:00,-75.87,139.96,2024-10-31 00:00:00,-81.66,25.67,
"KEYFINSERV",254.35,2025-08-29 00:00:00,2.08,438.45,2025-04-11 00:00:00,-40.78,230.63,2025-01-31 00:00:00,12.58,0.001,,25964900,259.65,
"KFINTECH",1021.2,2025-08-29 00:00:00,4.8,1082.9,2025-07-31 00:00:00,-1.17,1197.6,2025-04-30 00:00:00,-10.64,1000.1,2024-10-31 00:00:00,7.01,1070.2,
"KHADIM",240.8,2025-08-29 00:00:00,0.42,274.25,2025-07-31 00:00:00,-11.83,289.85,2025-04-30 00:00:00,-16.58,373.65,2024-10-31 00:00:00,-35.29,241.8,
"KHAICHEM",78.88,2025-05-30 00:00:00,54.16,54.04,2025-04-30 00:00:00,125.02,69.44,2025-01-31 00:00:00,75.12,0.001,,12159900,121.6,
"KHANDSE",23.72,2025-08-29 00:00:00,-0.21,24.9,2025-07-31 00:00:00,-4.94,22.41,2025-04-30 00:00:00,5.62,30.4,2024-10-31 00:00:00,-22.14,23.67,
"KICL",4730.7,2025-08-29 00:00:00,0.97,4789,2025-07-31 00:00:00,-0.25,4430.1,2025-04-30 00:00:00,7.83,7034.95,2024-10-25 00:00:00,-32.1,4776.8,
"KIMS",723.9,2025-08-29 00:00:00,0.5,751.2,2025-07-31 00:00:00,-3.15,656.85,2025-04-30 00:00:00,10.76,544.9,2024-10-31 00:00:00,33.51,727.5,
"KINGFA",4174.5,2025-08-29 00:00:00,5.25,3518.8,2025-07-31 00:00:00,24.86,3137.2,2025-04-30 00:00:00,40.05,3155.5,2024-10-31 00:00:00,39.24,4393.6,
"KIOCL",407.4,2025-08-29 00:00:00,1.57,317.9,2025-07-31 00:00:00,30.17,251.95,2025-04-30 00:00:00,64.24,336.7,2024-10-31 00:00:00,22.9,413.8,
"KIRIINDUS",530.85,2025-08-29 00:00:00,-0.58,548.1,2025-07-31 00:00:00,-3.71,583.4,2025-04-30 00:00:00,-9.54,390.95,2024-10-31 00:00:00,34.99,527.75,
"KIRLOSBROS",1941.6,2025-08-29 00:00:00,1.78,1970.9,2025-07-31 00:00:00,0.26,1712,2025-04-30 00:00:00,15.43,1931.55,2024-10-31 00:00:00,2.31,1976.1,
"KIRLOSENG",898.45,2025-08-29 00:00:00,2,904.2,2025-07-31 00:00:00,1.35,746.5,2025-04-30 00:00:00,22.76,1146.95,2024-10-31 00:00:00,-20.1,916.4,
"KIRLOSIND",3687.1,2025-08-29 00:00:00,1.84,4308.8,2025-07-31 00:00:00,-12.85,3011.7,2025-04-30 00:00:00,24.68,4801.1,2024-10-31 00:00:00,-21.79,3755.1,
"KIRLPNU",1218.7,2025-08-29 00:00:00,3.8,1319.1,2025-07-31 00:00:00,-4.1,1131.6,2025-04-30 00:00:00,11.79,1662.05,2024-10-31 00:00:00,-23.89,1265,
"KITEX",178.03,2025-08-29 00:00:00,5,282.55,2025-07-15 00:00:00,-33.84,240.72,2025-04-16 00:00:00,-22.35,367.02,2024-08-30 00:00:00,-49.07,186.93,
"KKCL",502.65,2025-08-29 00:00:00,2.52,556.05,2025-07-31 00:00:00,-7.33,438.15,2025-04-30 00:00:00,17.61,638.8,2024-10-31 00:00:00,-19.33,515.3,
"KMEW",1880.5,2025-08-29 00:00:00,-0.24,1663.4,2025-07-31 00:00:00,12.78,1391.4,2025-04-30 00:00:00,34.83,0.001,,187599900,1876,
"KMSUGAR",27.32,2025-08-29 00:00:00,0.51,26.95,2025-07-31 00:00:00,1.89,27.27,2025-04-30 00:00:00,0.7,35.29,2024-10-31 00:00:00,-22.19,27.46,
"KNRCON",190.88,2025-08-29 00:00:00,1.51,213.95,2025-07-31 00:00:00,-9.43,218.71,2025-04-30 00:00:00,-11.4,297,2024-10-31 00:00:00,-34.76,193.77,
"KOHINOOR",34.05,2025-08-29 00:00:00,1.03,34.35,2025-07-31 00:00:00,0.15,35.48,2025-04-30 00:00:00,-3.04,41.5,2024-10-31 00:00:00,-17.11,34.4,
"KOKUYOCMLN",111.51,2025-08-29 00:00:00,2.45,113.44,2025-07-31 00:00:00,0.71,105.08,2025-04-30 00:00:00,8.72,171.45,2024-10-31 00:00:00,-33.37,114.24,
"KOLTEPATIL",467.75,2025-08-29 00:00:00,0.72,415.05,2025-07-31 00:00:00,13.5,337.05,2025-04-30 00:00:00,39.77,367.4,2024-10-31 00:00:00,28.23,471.1,
"KOPRAN",154.82,2025-08-29 00:00:00,2.25,161.11,2025-07-31 00:00:00,-1.74,192.89,2025-04-30 00:00:00,-17.93,0.001,,15830900,158.31,
"KOTAKBANK",1960.3,2025-08-29 00:00:00,0.42,1978.6,2025-07-31 00:00:00,-0.51,2208.1,2025-04-30 00:00:00,-10.85,1731.1,2024-10-31 00:00:00,13.72,1968.6,
"KOTARISUG",30.16,2025-08-29 00:00:00,-0.13,33.07,2025-07-31 00:00:00,-8.92,36.22,2025-04-30 00:00:00,-16.84,51.09,2024-10-31 00:00:00,-41.05,30.12,
"KOTHARIPET",159.59,2025-08-29 00:00:00,3.47,159.82,2025-07-31 00:00:00,3.32,160.69,2025-04-30 00:00:00,2.76,223.64,2024-10-31 00:00:00,-26.16,165.13,
"KOTHARIPRO",75.67,2025-08-29 00:00:00,0.74,80.33,2025-07-31 00:00:00,-5.1,69.38,2025-04-30 00:00:00,9.87,0.001,,7622900,76.23,
"KPEL",423.15,2025-08-29 00:00:00,1.08,519.6,2025-07-31 00:00:00,-17.69,370.55,2025-04-30 00:00:00,15.42,0.001,,42769900,427.7,
"KPIGREEN",481.2,2025-08-29 00:00:00,2.23,512.75,2025-07-31 00:00:00,-4.06,381.45,2025-04-30 00:00:00,28.97,778.05,2024-10-31 00:00:00,-36.77,491.95,
"KPIL",1249,2025-08-29 00:00:00,-0.74,1147.4,2025-07-31 00:00:00,8.05,972.1,2025-04-30 00:00:00,27.54,1274.15,2024-10-31 00:00:00,-2.7,1239.8,
"KPITTECH",1190.5,2025-08-29 00:00:00,2.94,1226.4,2025-07-31 00:00:00,-0.07,1253.6,2025-04-30 00:00:00,-2.24,1393.25,2024-10-31 00:00:00,-12.04,1225.5,
"KPRMILL",986.4,2025-08-29 00:00:00,-0.14,1140,2025-07-31 00:00:00,-13.6,997.25,2025-04-30 00:00:00,-1.23,934.4,2024-10-31 00:00:00,5.42,985,
"KRBL",431.1,2025-08-29 00:00:00,3.75,384.65,2025-07-31 00:00:00,16.27,310.45,2025-04-30 00:00:00,44.07,292,2024-10-31 00:00:00,53.17,447.25,
"KRISHANA",577.65,2025-08-29 00:00:00,2.02,558.7,2025-07-31 00:00:00,5.48,282.13,2025-04-30 00:00:00,108.88,218.65,2024-10-31 00:00:00,169.52,589.3,
"KRITIKA",9.25,2025-08-29 00:00:00,6.81,9.16,2025-07-31 00:00:00,7.86,13.51,2024-10-17 00:00:00,-26.87,0.001,,987900,9.88,
"KRITINUT",97.74,2025-08-29 00:00:00,1.28,107.94,2025-07-31 00:00:00,-8.29,98.39,2025-04-30 00:00:00,0.61,157.03,2024-08-20 00:00:00,-36.96,98.99,
"KRN",862.35,2025-08-29 00:00:00,3.5,850.25,2025-07-31 00:00:00,4.98,726.5,2025-04-30 00:00:00,22.86,451.32,2024-10-31 00:00:00,97.76,892.55,
"KRONOX",161.53,2025-08-29 00:00:00,1.37,180.98,2025-07-31 00:00:00,-9.52,137.36,2025-04-30 00:00:00,19.21,165.18,2024-10-31 00:00:00,-0.87,163.75,
"KROSS",188.43,2025-08-29 00:00:00,1.34,175.55,2025-07-31 00:00:00,8.77,163.11,2025-04-30 00:00:00,17.07,167.77,2024-10-31 00:00:00,13.82,190.95,
"KRSNAA",788.7,2025-08-29 00:00:00,0.64,861.4,2025-07-31 00:00:00,-7.85,731.75,2025-04-30 00:00:00,8.47,941.85,2024-10-31 00:00:00,-15.72,793.75,
"KRYSTAL",661.45,2025-08-29 00:00:00,1.97,647.9,2025-05-21 00:00:00,4.11,440.4,2025-02-28 00:00:00,53.16,773.45,2024-08-30 00:00:00,-12.79,674.5,
"KSB",825.9,2025-08-29 00:00:00,-0.61,838.6,2025-07-31 00:00:00,-2.12,732.65,2025-04-30 00:00:00,12.04,800.65,2024-10-31 00:00:00,2.52,820.85,
"KSCL",1164.8,2025-08-29 00:00:00,2.03,1109.9,2025-07-31 00:00:00,7.07,1434.8,2025-04-30 00:00:00,-17.17,910.95,2024-10-31 00:00:00,30.46,1188.4,
"KSHITIJPOL",3.18,2025-08-29 00:00:00,-1.26,3.21,2025-07-31 00:00:00,-2.18,3.42,2025-04-30 00:00:00,-8.19,0.001,,313900,3.14,
"KSL",830.65,2025-08-29 00:00:00,0.05,890.05,2025-07-31 00:00:00,-6.62,698.7,2025-04-30 00:00:00,18.95,802.85,2024-10-31 00:00:00,3.52,831.1,
"KSOLVES",316.35,2025-08-29 00:00:00,0.84,323,2025-07-31 00:00:00,-1.24,433.95,2025-04-30 00:00:00,-26.49,952.05,2024-10-31 00:00:00,-66.49,319,
"KTKBANK",171.62,2025-08-29 00:00:00,1.68,180.66,2025-07-31 00:00:00,-3.41,195.87,2025-04-30 00:00:00,-10.91,217.03,2024-10-31 00:00:00,-19.6,174.5,
"KUANTUM",111.05,2025-08-29 00:00:00,-0.54,128.55,2025-07-31 00:00:00,-14.08,103.53,2025-04-30 00:00:00,6.68,133.53,2024-10-31 00:00:00,-17.28,110.45,
"LAGNAM",88.88,2025-08-29 00:00:00,-1.07,97.22,2025-07-31 00:00:00,-9.56,115.04,2025-04-30 00:00:00,-23.57,110.48,2024-10-31 00:00:00,-20.41,87.93,
"LALPATHLAB",3308.9,2025-08-29 00:00:00,-1.11,3150.9,2025-07-31 00:00:00,3.85,2769.1,2025-04-30 00:00:00,18.16,3113,2024-10-31 00:00:00,5.11,3272.1,
"LAMBODHARA",123.53,2025-08-29 00:00:00,-0.29,129.29,2025-07-31 00:00:00,-4.73,130.29,2025-04-30 00:00:00,-5.46,185.99,2024-08-30 00:00:00,-33.78,123.17,
"LANCORHOL",26.03,2025-08-29 00:00:00,-3.53,23.68,2025-07-31 00:00:00,6.04,22.72,2025-04-30 00:00:00,10.52,40.31,2024-10-31 00:00:00,-37.71,25.11,
"LANDMARK",603.05,2025-08-29 00:00:00,1.27,496.5,2025-07-31 00:00:00,23,411.8,2025-04-30 00:00:00,48.3,603.3,2024-10-31 00:00:00,1.23,610.7,
"LAOPALA",242.35,2025-08-29 00:00:00,-0.18,276.1,2025-07-31 00:00:00,-12.38,226.39,2025-04-30 00:00:00,6.86,342.85,2024-10-31 00:00:00,-29.44,241.92,
"LATENTVIEW",415.45,2025-08-29 00:00:00,-0.66,410,2025-07-31 00:00:00,0.66,393.25,2025-04-30 00:00:00,4.95,458.25,2024-10-31 00:00:00,-9.94,412.7,
"LATTEYS",19.2,2025-08-29 00:00:00,3.8,21.46,2025-07-31 00:00:00,-7.13,37.27,2024-09-30 00:00:00,-46.53,0.001,,1992900,19.93,
"LAURUSLABS",856.9,2025-08-29 00:00:00,0.36,874.35,2025-07-31 00:00:00,-1.64,603.85,2025-04-30 00:00:00,42.42,491.25,2024-10-31 00:00:00,75.06,860,
"LAXMICOT",24.6,2025-08-29 00:00:00,-0.53,27.42,2025-07-31 00:00:00,-10.76,23.84,2025-04-30 00:00:00,2.64,34.32,2024-10-31 00:00:00,-28.7,24.47,
"LAXMIDENTL",341.25,2025-08-29 00:00:00,-0.38,422.05,2025-07-31 00:00:00,-19.45,391.65,2025-04-30 00:00:00,-13.2,0.001,,33994900,339.95,
"LAXMIINDIA",129.72,2025-08-29 00:00:00,1.79,0.001,,13203900,0.001,,13203900,0.001,,13203900,132.04,
"LCCINFOTEC",4.23,2025-08-29 00:00:00,4.96,6.2,2025-06-10 00:00:00,-28.39,0.001,,443900,0.001,,443900,4.44,
"LEMONTREE",165.83,2025-08-29 00:00:00,2.65,149.79,2025-07-31 00:00:00,13.64,136.92,2025-04-30 00:00:00,24.32,117.75,2024-10-31 00:00:00,44.56,170.22,
"LEXUS",29.71,2025-08-29 00:00:00,0.2,31.24,2025-07-31 00:00:00,-4.71,33.8,2025-04-30 00:00:00,-11.92,42.7,2024-10-31 00:00:00,-30.28,29.77,
"LFIC",201.72,2025-08-29 00:00:00,0.57,214.53,2025-07-31 00:00:00,-5.44,202.78,2025-04-30 00:00:00,0.04,223.34,2024-08-30 00:00:00,-9.17,202.87,
"LGBBROSLTD",1271.3,2025-08-29 00:00:00,0.34,1259.8,2025-07-31 00:00:00,1.25,1193.5,2025-04-30 00:00:00,6.88,1317.05,2024-10-31 00:00:00,-3.15,1275.6,
"LGHL",728.9,2025-08-29 00:00:00,-4.73,702.7,2025-07-31 00:00:00,-1.17,522.05,2025-04-30 00:00:00,33.02,0.001,,69444900,694.45,
