"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"RADHIKAJWE",92.57,2025-08-29 00:00:00,0.86,99.97,2025-07-31 00:00:00,-6.6,89.95,2025-04-30 00:00:00,3.8,103.14,2024-08-30 00:00:00,-9.47,93.37,
"RADIANTCMS",59.61,2025-08-29 00:00:00,3.15,57.2,2025-07-31 00:00:00,7.5,64.46,2025-04-30 00:00:00,-4.61,76.37,2024-10-31 00:00:00,-19.48,61.49,
"RADICO",2852.5,2025-08-29 00:00:00,0.15,2734.5,2025-07-31 00:00:00,4.47,2455.7,2025-04-30 00:00:00,16.33,2379,2024-10-31 00:00:00,20.08,2856.7,
"RADIOCITY",8.51,2025-08-29 00:00:00,-0.94,8.7,2025-07-31 00:00:00,-3.1,9.7,2025-04-30 00:00:00,-13.09,13.27,2024-10-31 00:00:00,-36.47,8.43,
"RAILTEL",328.2,2025-08-29 00:00:00,3.41,367.55,2025-07-31 00:00:00,-7.66,296.05,2025-04-30 00:00:00,14.64,420.65,2024-10-31 00:00:00,-19.32,339.4,
"RAIN",135.85,2025-08-29 00:00:00,0.41,157.01,2025-07-31 00:00:00,-13.12,141.53,2025-04-30 00:00:00,-3.62,161.57,2024-10-31 00:00:00,-15.57,136.41,
"RAINBOW",1502.1,2025-08-29 00:00:00,-0.09,1524.4,2025-07-31 00:00:00,-1.55,1381.7,2025-04-30 00:00:00,8.61,1614.2,2024-10-31 00:00:00,-7.03,1500.7,
"RAJESHEXPO",175.11,2025-08-29 00:00:00,-0.58,188.47,2025-07-31 00:00:00,-7.62,181.36,2025-04-30 00:00:00,-4,257.7,2024-10-31 00:00:00,-32.44,174.1,
"RAJMET",4.4,2025-08-29 00:00:00,0,4.84,2025-07-31 00:00:00,-9.09,5.51,2025-02-28 00:00:00,-20.15,12.3,2024-08-30 00:00:00,-64.23,4.4,
"RAJOOENG",101.21,2025-08-29 00:00:00,-0.31,110.56,2025-07-31 00:00:00,-8.74,0.001,,10089900,0.001,,10089900,100.9,
"RAJRATAN",311.55,2025-08-29 00:00:00,-0.71,386.9,2025-07-31 00:00:00,-20.04,411.25,2025-04-30 00:00:00,-24.78,536.9,2024-10-31 00:00:00,-42.38,309.35,
"RAJSREESUG",37.21,2025-08-29 00:00:00,1.37,44.44,2025-07-31 00:00:00,-15.12,44.69,2025-04-30 00:00:00,-15.6,64.92,2024-10-31 00:00:00,-41.9,37.72,
